H1	H2	H3	Angle
3az2H_9	3az2H_11	3az2G_13	 39.956 
3az2H_9	3az2H_11	3az2H_1	 86.788 
3az2H_9	3az2H_11	3az2H_11	 90.000 
3az2H_9	3az2H_11	3az2G_7	 32.698 
3az2H_9	3az2H_11	3az2H_12	 22.838 
3az2H_9	3az2H_11	3az2H_10	 35.533 
3az2H_9	3az2H_11	3az2H_4	 45.389 
3az2H_9	3az2H_11	3az2H_8	 15.394 
3az2H_9	3az2H_11	3az2H_3	 22.380 
3az2H_9	3az2G_7	3az2H_9	 0.000 
3az2H_9	3az2G_7	3az2G_2	 96.613 
3az2H_9	3az2G_7	3az2G_5	 57.859 
3az2H_9	3az2G_7	3az2H_6	 44.529 
3az2H_9	3az2G_7	3az2H_14	 59.221 
3az2H_9	3az2G_7	3az2G_13	 74.301 
3az2H_9	3az2G_7	3az2H_1	 58.849 
3az2H_9	3az2G_7	3az2H_11	 40.313 
3az2H_9	3az2G_7	3az2G_7	 90.000 
3az2H_9	3az2G_7	3az2H_12	 20.928 
3az2H_9	3az2G_7	3az2H_10	 41.360 
3az2H_9	3az2G_7	3az2H_4	 59.569 
3az2H_9	3az2G_7	3az2H_8	 34.710 
3az2H_9	3az2G_7	3az2H_3	 63.274 
3az2H_9	3az2H_12	3az2H_9	 0.000 
3az2H_9	3az2H_12	3az2G_2	 69.746 
3az2H_9	3az2H_12	3az2G_5	 123.597 
3az2H_9	3az2H_12	3az2H_6	 120.973 
3az2H_9	3az2H_12	3az2H_14	 112.893 
3az2H_9	3az2H_12	3az2G_13	 91.721 
3az2H_9	3az2H_12	3az2H_1	 92.511 
3az2H_9	3az2H_12	3az2H_11	 103.481 
3az2H_9	3az2H_12	3az2G_7	 48.355 
3az2H_9	3az2H_12	3az2H_12	 90.000 
3az2H_9	3az2H_12	3az2H_10	 85.511 
3az2H_9	3az2H_12	3az2H_4	 88.386 
3az2H_9	3az2H_12	3az2H_8	 44.693 
3az2H_9	3az2H_12	3az2H_3	 68.733 
3az2H_9	3az2H_10	3az2H_9	 0.000 
3az2H_9	3az2H_10	3az2G_2	 68.144 
3az2H_9	3az2H_10	3az2G_5	 128.325 
3az2H_9	3az2H_10	3az2H_6	 73.468 
3az2H_9	3az2H_10	3az2H_14	 66.793 
3az2H_9	3az2H_10	3az2G_13	 54.612 
3az2H_9	3az2H_10	3az2H_1	 157.262 
3az2H_9	3az2H_10	3az2H_11	 125.467 
3az2H_9	3az2H_10	3az2G_7	 50.643 
3az2H_9	3az2H_10	3az2H_12	 33.890 
3az2H_9	3az2H_10	3az2H_10	 90.000 
3az2H_9	3az2H_10	3az2H_4	 68.167 
3az2H_9	3az2H_10	3az2H_8	 25.541 
3az2H_9	3az2H_10	3az2H_3	 32.224 
3az2H_9	3az2H_4	3az2H_9	 0.000 
3az2H_9	3az2H_4	3az2G_2	 100.987 
3az2H_9	3az2H_4	3az2G_5	 103.306 
3az2H_9	3az2H_4	3az2H_6	 70.525 
3az2H_9	3az2H_4	3az2H_14	 95.707 
3az2H_9	3az2H_4	3az2G_13	 91.465 
3az2H_9	3az2H_4	3az2H_1	 86.115 
3az2H_9	3az2H_4	3az2H_11	 66.998 
3az2H_9	3az2H_4	3az2G_7	 68.578 
3az2H_9	3az2H_4	3az2H_12	 31.055 
3az2H_9	3az2H_4	3az2H_10	 58.924 
3az2H_9	3az2H_4	3az2H_4	 90.000 
3az2H_9	3az2H_4	3az2H_8	 38.658 
3az2H_9	3az2H_4	3az2H_3	 60.527 
3az2H_9	3az2H_8	3az2H_9	 0.000 
3az2H_9	3az2H_8	3az2G_2	 101.109 
3az2H_9	3az2H_8	3az2G_5	 57.617 
3az2H_9	3az2H_8	3az2H_6	 56.029 
3az2H_9	3az2H_8	3az2H_14	 84.177 
3az2H_9	3az2H_8	3az2G_13	 118.783 
3az2H_9	3az2H_8	3az2H_1	 49.599 
3az2H_9	3az2H_8	3az2H_11	 32.322 
3az2H_9	3az2H_8	3az2G_7	 106.736 
3az2H_9	3az2H_8	3az2H_12	 34.428 
3az2H_9	3az2H_8	3az2H_10	 38.293 
3az2H_9	3az2H_8	3az2H_4	 76.670 
3az2H_9	3az2H_8	3az2H_8	 90.000 
3az2H_9	3az2H_8	3az2H_3	 134.622 
3az2H_9	3az2H_3	3az2H_9	 0.000 
3az2H_9	3az2H_3	3az2G_2	 62.344 
3az2H_9	3az2H_3	3az2G_5	 46.404 
3az2H_9	3az2H_3	3az2H_6	 41.466 
3az2H_9	3az2H_3	3az2H_14	 62.273 
3az2H_9	3az2H_3	3az2G_13	 89.084 
3az2H_9	3az2H_3	3az2H_1	 34.035 
3az2H_9	3az2H_3	3az2H_11	 25.435 
3az2H_9	3az2H_3	3az2G_7	 57.272 
3az2H_9	3az2H_3	3az2H_12	 24.806 
3az2H_9	3az2H_3	3az2H_10	 25.417 
3az2H_9	3az2H_3	3az2H_4	 49.419 
3az2H_9	3az2H_3	3az2H_8	 23.492 
3az2H_9	3az2H_3	3az2H_3	 90.000 
3az2G_2	3az2H_9	3az2H_9	 90.000 
3az2G_2	3az2H_9	3az2G_2	 0.000 
3az2G_2	3az2H_9	3az2G_5	 62.702 
3az2G_2	3az2H_9	3az2H_6	 59.348 
3az2G_2	3az2H_9	3az2H_14	 47.544 
3az2G_2	3az2H_9	3az2G_13	 43.802 
3az2G_2	3az2H_9	3az2H_1	 61.909 
3az2G_2	3az2H_9	3az2H_11	 86.973 
3az2G_2	3az2H_9	3az2G_7	 24.553 
3az2G_2	3az2H_9	3az2H_12	 87.530 
3az2G_2	3az2H_9	3az2H_10	 68.760 
3az2G_2	3az2H_9	3az2H_4	 27.456 
3az2G_2	3az2H_9	3az2H_8	 48.719 
3az2G_2	3az2H_9	3az2H_3	 63.554 
3az2G_2	3az2G_2	3az2H_9	 90.000 
3az2G_2	3az2G_2	3az2G_2	 90.000 
3az2G_2	3az2G_2	3az2G_5	 90.000 
3az2G_2	3az2G_2	3az2H_6	 90.000 
3az2G_2	3az2G_2	3az2H_14	 90.000 
3az2G_2	3az2G_2	3az2G_13	 90.000 
3az2G_2	3az2G_2	3az2H_1	 90.000 
3az2G_2	3az2G_2	3az2H_11	 90.000 
3az2G_2	3az2G_2	3az2G_7	 90.000 
3az2G_2	3az2G_2	3az2H_12	 90.000 
3az2G_2	3az2G_2	3az2H_10	 90.000 
3az2G_2	3az2G_2	3az2H_4	 90.000 
3az2G_2	3az2G_2	3az2H_8	 90.000 
3az2G_2	3az2G_2	3az2H_3	 90.000 
3az2G_2	3az2G_5	3az2H_9	 48.182 
3az2G_2	3az2G_5	3az2G_2	 0.000 
3az2G_2	3az2G_5	3az2G_5	 90.000 
3az2G_2	3az2G_5	3az2H_6	 45.891 
3az2G_2	3az2G_5	3az2H_14	 40.946 
3az2G_2	3az2G_5	3az2G_13	 34.713 
3az2G_2	3az2G_5	3az2H_1	 66.576 
3az2G_2	3az2G_5	3az2H_11	 94.224 
3az2G_2	3az2G_5	3az2G_7	 13.225 
3az2G_2	3az2G_5	3az2H_12	 57.760 
3az2G_2	3az2G_5	3az2H_10	 57.369 
3az2G_2	3az2G_5	3az2H_4	 15.240 
3az2G_2	3az2G_5	3az2H_8	 31.807 
3az2G_2	3az2G_5	3az2H_3	 35.930 
3az2G_2	3az2H_6	3az2H_9	 73.127 
3az2G_2	3az2H_6	3az2G_2	 0.000 
3az2G_2	3az2H_6	3az2G_5	 107.760 
3az2G_2	3az2H_6	3az2H_6	 90.000 
3az2G_2	3az2H_6	3az2H_14	 60.408 
3az2G_2	3az2H_6	3az2G_13	 50.696 
3az2G_2	3az2H_6	3az2H_1	 82.647 
3az2G_2	3az2H_6	3az2H_11	 117.159 
3az2G_2	3az2H_6	3az2G_7	 21.557 
3az2G_2	3az2H_6	3az2H_12	 96.878 
3az2G_2	3az2H_6	3az2H_10	 85.739 
3az2G_2	3az2H_6	3az2H_4	 6.139 
3az2G_2	3az2H_6	3az2H_8	 49.493 
3az2G_2	3az2H_6	3az2H_3	 57.037 
3az2G_2	3az2H_14	3az2H_9	 70.675 
3az2G_2	3az2H_14	3az2G_2	 0.000 
3az2G_2	3az2H_14	3az2G_5	 91.886 
3az2G_2	3az2H_14	3az2H_6	 88.974 
3az2G_2	3az2H_14	3az2H_14	 90.000 
3az2G_2	3az2H_14	3az2G_13	 70.552 
3az2G_2	3az2H_14	3az2H_1	 67.139 
3az2G_2	3az2H_14	3az2H_11	 87.502 
3az2G_2	3az2H_14	3az2G_7	 22.747 
3az2G_2	3az2H_14	3az2H_12	 92.243 
3az2G_2	3az2H_14	3az2H_10	 71.037 
3az2G_2	3az2H_14	3az2H_4	 29.574 
3az2G_2	3az2H_14	3az2H_8	 56.453 
